player	pos	tm	season	perf	salary
Derrick Rose	PG	['CHI', 'CHI', 'CHI', 'CHI', 'CHI']	['2010-11', '2011-12', '2013-14', '2014-15', '2015-16']	[2837, 1234, 206, 1207, 1499]	$21,323,250 
Derrick Williams	PF	['MIN', 'MIN', 'TOT, MIN, SAC', 'SAC', 'NYK']	['2011-12', '2012-13', '2013-14', '2014-15', '2015-16']	[916, 1389, 1990, 851, 1094]	$4,598,000 
Derrick Williams	PF	['MIN', 'MIN', 'TOT, MIN, SAC', 'SAC', 'NYK']	['2011-12', '2012-13', '2013-14', '2014-15', '2015-16']	[916, 1389, 1990, 851, 1094]	$134,014 
Devin Booker	SG	['PHO']	['2015-16']	[1339]	$2,223,600 
Devin Harris	PG	['TOT, NJN, UTA', 'UTA', 'ATL', 'DAL', 'DAL', 'DAL']	['2010-11', '2011-12', '2012-13', '2013-14', '2014-15', '2015-16']	[3242, 1098, 879, 549, 1044, 750]	$4,228,000 
Dewayne Dedmon	C	['TOT, GSW, PHI, ORL', 'ORL', 'ORL']	['2013-14', '2014-15', '2015-16']	[480, 535, 532]	$2,898,000 
Dion Waiters	SG	['CLE', 'CLE', 'TOT, CLE, OKC', 'OKC']	['2012-13', '2013-14', '2014-15', '2015-16']	[1180, 1443, 2586, 1094]	$2,898,000 
Dionte Christmas	SF	['PHO']	['2013-14']	[116]	$50,000 
Dirk Nowitzki	PF	['DAL', 'DAL', 'DAL', 'DAL', 'DAL', 'DAL']	['2010-11', '2011-12', '2012-13', '2013-14', '2014-15', '2015-16']	[2332, 1851, 1417, 2450, 1923, 2013]	$25,000,000 
Donatas Motiejunas	PF	['HOU', 'HOU', 'HOU', 'HOU']	['2012-13', '2013-14', '2014-15', '2015-16']	[354, 592, 1373, 358]	$576,724 
Doug McDermott	SF	['CHI', 'CHI']	['2014-15', '2015-16']	[146, 985]	$2,483,040 
Draymond Green	SF	['GSW', 'GSW', 'GSW', 'GSW']	['2012-13', '2013-14', '2014-15', '2015-16']	[556, 1155, 1948, 2471]	$15,330,435 
Dwight Howard	C	['ORL', 'ORL', 'LAL', 'HOU', 'HOU', 'HOU']	['2010-11', '2011-12', '2012-13', '2013-14', '2014-15', '2015-16']	[3003, 2024, 2394, 2253, 1093, 1925]	$23,180,275 
Dwight Powell	PF	['TOT, BOS, DAL', 'DAL']	['2014-15', '2015-16']	[306, 736]	$8,375,000 
Dwyane Wade	SG	['MIA', 'MIA', 'MIA', 'MIA', 'MIA', 'MIA']	['2010-11', '2011-12', '2012-13', '2013-14', '2014-15', '2015-16']	[2733, 1560, 2149, 1468, 1734, 1973]	$23,200,000 
